Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMD,GOOG,META,NVDA,AAPL,AMD,GOOG,META,NVDA,AAPL,AMD,GOOG,META,NVDA,AAPL,AMD,GOOG,META,NVDA,AAPL,AMD,GOOG,META,NVDA
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-29 13:30:00+00:00,254.0500030517578,160.139892578125,248.1199951171875,748.1699829101562,181.4600067138672,254.7899932861328,160.7899932861328,248.5500030517578,750.760009765625,181.72000122070312,253.91000366210938,160.00999450683594,247.72999572753906,747.5999755859375,180.35000610351562,254.63999938964844,160.11000061035156,248.27499389648438,748.719970703125,180.43499755859375,1272275,649732,668748,330107,5538758
2025-09-29 13:31:00+00:00,253.6750030517578,160.10989379882812,248.14999389648438,748.0700073242188,182.20989990234375,254.38999938964844,160.5998992919922,248.60000610351562,749.2100219726562,182.3300018310547,253.52000427246094,159.89999389648438,247.97500610351562,747.5050048828125,181.47000122070312,254.01499938964844,160.10000610351562,248.08999633789062,748.4199829101562,181.47999572753906,210664,132784,71653,30104,1703572
2025-09-29 13:32:00+00:00,254.3000030517578,160.64500427246094,248.10499572753906,748.5,182.07000732421875,254.3000030517578,160.77000427246094,248.51499938964844,748.7999877929688,182.58999633789062,253.56500244140625,159.94000244140625,247.92999267578125,747.7999877929688,182.0399932861328,253.6999969482422,160.11000061035156,248.14999389648438,748.1950073242188,182.19000244140625,186692,166441,62473,32323,1327705
2025-09-29 13:33:00+00:00,254.1199951171875,160.85000610351562,248.13999938964844,747.9180297851562,182.60940551757812,254.32000732421875,160.97999572753906,248.16000366210938,749.0549926757812,182.72999572753906,253.8800048828125,160.4199981689453,247.7899932861328,747.4500122070312,182.0279998779297,254.24000549316406,160.61000061035156,248.11000061035156,747.8699951171875,182.0800018310547,98311,213041,45485,31444,1095687
2025-09-29 13:34:00+00:00,253.639892578125,161.10369873046875,248.4499969482422,747.4099731445312,182.36000061035156,254.14990234375,161.16000366210938,248.4600067138672,748.2249755859375,182.83999633789062,253.5,160.63160705566406,248.13999938964844,746.27001953125,182.35000610351562,254.1199951171875,160.85000610351562,248.22999572753906,748.2249755859375,182.61000061035156,140683,236571,35143,18932,1052088
2025-09-29 13:35:00+00:00,253.39999389648438,161.23500061035156,248.97500610351562,746.8300170898438,182.68899536132812,253.63999938964844,161.36000061035156,249.02999877929688,748.6900024414062,183.14999389648438,253.2899932861328,160.9499969482422,248.44500732421875,746.8300170898438,182.23330688476562,253.60000610351562,161.11300659179688,248.4600067138672,747.47998046875,182.35499572753906,211430,221748,48814,19643,1498888
2025-09-29 13:36:00+00:00,253.47000122070312,161.07000732421875,248.41000366210938,746.4000244140625,183.22239685058594,253.6699981689453,161.38999938964844,248.89999389648438,747.0,183.4199981689453,253.24000549316406,160.81590270996094,248.41000366210938,745.4199829101562,182.67999267578125,253.39999389648438,161.26019287109375,248.89999389648438,746.9450073242188,182.67999267578125,154100,264605,48075,33033,9360759
2025-09-29 13:37:00+00:00,253.3350067138672,160.93499755859375,248.72850036621094,748.498291015625,183.06809997558594,253.67999267578125,161.22000122070312,248.83999633789062,748.7990112304688,183.3585968017578,253.16000366210938,160.83999633789062,248.27000427246094,745.9349975585938,182.97000122070312,253.4600067138672,161.0402069091797,248.39999389648438,746.2650146484375,183.22500610351562,123668,151302,30160,31921,0
